name,isin,symbol
PRO DV AG O.N.,DE0006967805,PDA
PROGRESS-WERK OBERK. O.N.,DE0006968001,PWO
PUMA SE,DE0006969603,PUM
PUBLITY AG NA O.N.,DE0006972508,PBY
REALTECH AG O.N.,DE0007008906,RTC
RATIONAL AG,DE0007010803,RAA
RHEINMETALL AG,DE0007030009,RHM
RWE AG ST O.N.,DE0007037129,RWE
RWE AG VZO O.N.,DE0007037145,RWE3
RHOEN-KLINIKUM O.N.,DE0007042301,RHK
KWS SAAT SE O.N.,DE0007074007,KWS
DAIMLER AG NA O.N.,DE0007100000,DAI
SAP SE O.N.,DE0007164600,SAP
SARTORIUS AG O.N.,DE0007165607,SRT
SARTORIUS AG VZO O.N.,DE0007165631,SRT3
SCHALTBAU HOLDING O.N,DE0007170300,SLT
KOENIG + BAUER AG ST O.N.,DE0007193500,SKB
FIRST SENSOR AG O.N.,DE0007201907,SIS
SNP SCHNEID.-NEUREIT.O.N.,DE0007203705,SHF
SCHLOSS WACHENHEIM AG O.N,DE0007229007,SWA
SIXT SE ST O.N.,DE0007231326,SIX2
SIXT SE VZO O.N.,DE0007231334,SIX3
SGL CARBON SE O.N.,DE0007235301,SGL
SIEMENS AG NA,DE0007236101,SIE
STADA ARZNEIMITT. NA O.N.,DE0007251803,SAZ
METRO AG ST O.N.,DE0007257503,MEO
METRO AG VZO O.N.,DE0007257537,MEO3
STO SE+CO.KGAA VZO O.N.,DE0007274136,STO3
SECUNET SECURITY AG O.N.,DE0007276503,YSN
SPL.MEDIEN AG O.N.,DE0007279507,SPM
SUEDZUCKER AG  O.N.,DE0007297004,SZU
HEIDELBERG.DRUCKMA.O.N.,DE0007314007,HDD
TAKKT AG O.N.,DE0007446007,TTK
IVU TRAFFIC TECHN.AG O.N.,DE0007448508,IVU
TELES AG INFORM.TECHN.,DE0007454902,TLI
PVA TEPLA AG O.N.,DE0007461006,TPE
WIRECARD AG,DE0007472060,WDI
DEUTSCHE EUROSHOP AG O.N.,DE0007480204,DEQ
STROEER SE + CO. KGAA,DE0007493991,SAX
TRIPLAN AG O.N.,DE0007499303,TPN
THYSSENKRUPP AG O.N.,DE0007500001,TKA
WASHTEC AG O.N.,DE0007507501,WSU
BEATE UHSE AG,DE0007551400,USE
UZIN UTZ AG O.N.,DE0007551509,UZU
SFC ENERGY AG,DE0007568578,F3C
GK SOFTWARE O.N.,DE0007571424,GKS
GOING PUBLIC MEDIA AG,DE0007612103,G6P
VILLEROY + BOCH AG VZ,DE0007657231,VIB3
VOLKSWAGEN AG ST O.N.,DE0007664005,VOW
VOLKSWAGEN AG VZO O.N.,DE0007664039,VOW3
VOSSLOH AG O.N.,DE0007667107,VOS
H+R KGAA  INH. O.N.,DE0007757007,2HR
WESTAG + GETALIT ST O.N.,DE0007775207,WUG
WESTAG + GETALIT VZO O.N.,DE0007775231,WUG3
VASCORY AG  O.N.,DE0007786303,VG1
ALNO AG,DE0007788408,ANO
DALDRUP+SOEHNE AG,DE0007830572,4DS
IFA SYSTEMS AG,DE0007830788,IS8
VISCOM AG O.N.,DE0007846867,V6C
ELRINGKLINGER AG NA O.N.,DE0007856023,ZIL2
KLASSIK RADIO AG NA O.N.,DE0007857476,KA8
DT.PFANDBRIEFBK AG,DE0008019001,PBB
DT.EFF.U.WECH.-BET.G.O.N.,DE0008041005,EFF
WUESTENROT+WUERTT.AG O.N.,DE0008051004,WUW
MERKUR BANK KGAA .O.N.,DE0008148206,MBK
LUFTHANSA AG VNA O.N.,DE0008232125,LHA
TAG IMMOBILIEN AG,DE0008303504,TEG
HANNOVER RUECK SE NA O.N.,DE0008402215,HNR1
ALLIANZ SE NA O.N.,DE0008404005,ALV
MUENCH.RUECKVERS.VNA O.N.,DE0008430026,MUV2
NUERNBERGER BET.AG VNA,DE0008435967,NBG6
"BP PLC DZ/1 DL-,25",DE0008618737,BPE
CONSTANTIN MEDIEN AG O.N.,DE0009147207,EV4
PAION O.N,DE000A0B65S3,PA8
JDC GROUP AG O.N.,DE000A0B9N37,A8A
COREO AG   O.N.,DE000A0B9VV6,NNS
VITA 34 AG NA O.N.,DE000A0BL849,V3V
USU SOFTWARE AG,DE000A0BVU28,OSP2
PHOENIX SOLAR AG  O.N.,DE000A0BVU93,PS4
DT.CANNABIS AG   O.N.,DE000A0BVVK7,FAM1
DIEBOLD NIXDORF  INH.O.N.,DE000A0CAYB2,WIN
NORDEX SE O.N.,DE000A0D6554,NDX1
MAX21 AG,DE000A0D88T9,MA1
ISHARES EURO STOXX U.ETF,DE000A0D8Q07,EXSI
ISHARES ATX UCITS ETF,DE000A0D8Q23,EXXX
I.EB.R.GOV.GE.10.5+ U.ETF,DE000A0D8Q31,EXX6
IS.DJ U.S.SELEC.DIV.U.ETF,DE000A0D8Q49,EXX5
ISH.S.EUR.SMALL 200 U.ETF,DE000A0D8QZ7,EXSE
MTU AERO ENGINES NA O.N.,DE000A0D9PT0,MTX
SMA SOLAR TECHNOL.AG,DE000A0DJ6J9,S92
BET-AT-HOME.COM AG O.N.,DE000A0DNAY5,ACX
SIXT LEASING O.N.,DE000A0DPRE6,LNSX
OEKOWORLD AG VZNA O.N.,DE000A0EKMG1,VVV1
INTERSHOP COMM.,DE000A0EPUH1,ISH2
HELMA EIGENHEIMBAU AG,DE000A0EQ578,H5E
MBB SE O.N.,DE000A0ETBQ4,MBB
IS.DJ CHINA OFFS.50 U.ETF,DE000A0F5UE8,EXXU
ISHARES NASDAQ-100 U.ETF,DE000A0F5UF5,EXXT
IS.DJ EUROZ.SUST.SC.U.ETF,DE000A0F5UG3,EXXV
IS.S.GL.SE.D.100 U.ETF A.,DE000A0F5UH1,ISPA
IS.S.EU.600 BANK.U.ETF A.,DE000A0F5UJ7,EXV1
IS.S.E.600 BA.RE.U.ETF A.,DE000A0F5UK5,EXV6
ISHS DIV.COMM.SWAP UC.ETF,DE000A0H0728,EXXY
IS.DJ AS.PAC.S.D.30 U.ETF,DE000A0H0744,EXXW
IS.E.G.B.C.1.5-10.5 U.ETF,DE000A0H0785,EXHF
IS.EO G.B.C.1.5-2.5 U.ETF,DE000A0H0793,EXHG
IS.EO G.B.C.2.5-5.5 U.ETF,DE000A0H08A8,EXHH
IS.E.G.B.C.5.5-10.5 U.ETF,DE000A0H08B6,EXHJ
IS.EO GO.BD.C.10.5+ U.ETF,DE000A0H08C4,EXHK
ISHARES NIKKEI 225 U.ETF,DE000A0H08D2,EXX7
IS.S.EU.600 CHEM.U.ETF A.,DE000A0H08E0,EXV7
ISH.S.EU.600 C+M U.ETF A.,DE000A0H08F7,EXV8
IS.S.E.600 FIN.S.U.ETF A.,DE000A0H08G5,EXH2
IS.S.E.600 FO.+B.U.ETF A.,DE000A0H08H3,EXH3
IS.S.E.600 I.G+S.U.ETF A.,DE000A0H08J9,EXH4
IS.S.E.600 INSUR.U.ETF A.,DE000A0H08K7,EXH5
IS.S.E.600 MEDIA U.ETF A.,DE000A0H08L5,EXH6
IS.S.E.600 OIL+G.U.ETF A.,DE000A0H08M3,EXH1
ISH.S.E.600 P+HG U.ETF A.,DE000A0H08N1,EXH7
